ncm, scnp
01011010,01921
01011090,01921
01012100,01921
01012900,01921
01013000,01921
01019000,01921
01019010,01921
01019090,01921
01021010,01921
01021090,01921
01022110,01921
01022190,01921
01022911,01921
01022919,01921
01022990,01921
01023110,01921
01023190,01921
01023911,01921
01023919,01921
01023990,01921
01029000,01921
01029011,01921
01029019,01921
01029090,01921
01031000,01923
01039100,01923
01039200,01923
01041011,01921
01041019,01921
01041090,01921
01042010,01921
01042090,01921
01051110,01924
01051190,01924
01051200,01924
01051300,01924
01051400,01924
01051500,01924
01051900,01924
01059400,01924
01059900,01924
01061100,01921
01061200,02802
01061300,01921
01061400,01921
01061900,01921
01062000,01921
01063100,01924
01063200,01924
01063310,01924
01063390,01924
01063900,01924
01063910,01924
01063990,01924
01064100,01921
01064900,01921
01069000,01921
02011000,10911
02012010,10911
02012020,10911
02012090,10911
02013000,10911
02021000,10911
02022010,10911
02022020,10911
02022090,10911
02023000,10911
02031100,10912
02031200,10912
02031900,10912
02032100,10912
02032200,10912
02032900,10912
02041000,10911
02042100,10911
02042200,10911
02042300,10911
02043000,10911
02044100,10911
02044200,10911
02044300,10911
02045000,10911
02050000,10911
02061000,10911
02062100,10911
02062200,10911
02062910,10911
02062990,10911
02063000,10911
02064100,10911
02064900,10911
02068000,10911
02069000,10911
02071100,10913
02071200,10913
02071300,10913
02071400,10913
02072400,10913
02072500,10913
02072600,10913
02072700,10913
02073200,10913
02073300,10913
02073400,10913
02073500,10913
02073600,10913
02074100,10913
02074200,10913
02074300,10913
02074400,10913
02074500,10913
02075100,10913
02075200,10913
02075300,10913
02075400,10913
02075500,10913
02076000,10913
02081000,10911
02083000,10911
02084000,10911
02085000,02802
02086000,10911
02089000,10911
02090011,10911
02090019,10911
02090021,10911
02090029,10911
02090090,10911
02091011,10911
02091019,10911
02091021,10911
02091029,10911
02099000,10911
02101100,10911
02101200,10911
02101900,10911
02102000,10911
02109100,10911
02109200,10911
02109300,10911
02109900,10911
03011010,02802
03011090,02802
03011110,02802
03011190,02802
03011900,02802
03019110,02802
03019190,02802
03019210,02802
03019290,02802
03019310,02802
03019390,02802
03019410,02802
03019490,02802
03019510,02802
03019590,02802
03019911,02802
03019912,02802
03019919,02802
03019991,02802
03019992,02802
03019999,02802
03021100,02802
03021200,02802
03021300,02802
03021400,02802
03021900,02802
03022100,02802
03022200,02802
03022300,02802
03022400,02802
03022900,02802
03023100,02802
03023200,02802
03023300,02802
03023400,02802
03023500,02802
03023600,02802
03023900,02802
03024000,02802
03024100,02802
03024210,02802
03024290,02802
03024300,02802
03024400,02802
03024500,02802
03024600,02802
03024700,02802
03025000,02802
03025100,02802
03025200,02802
03025300,02802
03025400,02802
03025500,02802
03025600,02802
03025900,02802
03026100,02802
03026200,02802
03026300,02802
03026400,02802
03026500,02802
03026600,02802
03026700,02802
03026810,02802
03026820,02802
03026910,02802
03026922,02802
03026923,02802
03026931,02802
03026932,02802
03026933,02802
03026934,02802
03026935,02802
03026941,02802
03026942,02802
03026943,02802
03026944,02802
03026945,02802
03026946,02802
03026947,02802
03026948,02802
03026949,02802
03026951,02802
03026952,02802
03026953,02802
03026954,02802
03026955,02802
03026990,02802
03027000,10914
03027100,02802
03027210,02802
03027290,02802
03027300,02802
03027400,02802
03027900,02802
03028100,02802
03028200,02802
03028310,02802
03028320,02802
03028400,02802
03028500,02802
03028911,02802
03028912,02802
03028922,02802
03028923,02802
03028924,02802
03028931,02802
03028932,02802
03028933,02802
03028934,02802
03028935,02802
03028936,02802
03028937,02802
03028938,02802
03028941,02802
03028942,02802
03028943,02802
03028944,02802
03028945,02802
03028990,02802
03029000,10914
03031100,10914
03031200,10914
03031300,10914
03031400,10914
03031900,10914
03032100,10914
03032200,10914
03032300,10914
03032410,10914
03032490,10914
03032500,10914
03032600,10914
03032900,10914
03033100,10914
03033200,10914
03033300,10914
03033400,10914
03033900,10914
03034100,10914
03034200,10914
03034300,10914
03034400,10914
03034500,10914
03034600,10914
03034900,10914
03035100,10914
03035200,10914
03035300,10914
03035400,10914
03035500,10914
03035600,10914
03035700,10914
03036100,10914
03036211,10914
03036212,10914
03036219,10914
03036221,10914
03036222,10914
03036229,10914
03036300,10914
03036400,10914
03036500,10914
03036600,10914
03036700,10914
03036800,10914
03036910,10914
03036990,10914
03037100,10914
03037200,10914
03037300,10914
03037400,10914
03037511,10914
03037512,10914
03037513,10914
03037514,10914
03037519,10914
03037590,10914
03037600,10914
03037700,10914
03037800,10914
03037910,10914
03037920,10914
03037932,10914
03037933,10914
03037934,10914
03037941,10914
03037942,10914
03037943,10914
03037944,10914
03037945,10914
03037946,10914
03037947,10914
03037948,10914
03037951,10914
03037952,10914
03037953,10914
03037954,10914
03037955,10914
03037956,10914
03037957,10914
03037961,10914
03037962,10914
03037963,10914
03037964,10914
03037965,10914
03037990,10914
03038000,10914
03038111,10914
03038112,10914
03038113,10914
03038114,10914
03038119,10914
03038190,10914
03038200,10914
03038311,10914
03038312,10914
03038321,10914
03038322,10914
03038329,10914
03038400,10914
03038910,10914
03038920,10914
03038931,10914
03038932,10914
03038933,10914
03038941,10914
03038942,10914
03038943,10914
03038944,10914
