src,dst,wgt,jur
0,1,25.332539,0
2,3,8.031198,0
4,5,1.259946,0
6,7,2.634321,1
8,9,1.679727,0
10,11,0.930757,0
12,13,9.157643,0
13,14,0.572846,0
14,15,11.877794,0
15,16,22.958114,0
16,17,1.328997,0
18,19,17.865715,0
20,21,8.629629,0
21,22,0.047114,0
22,23,12.026343,0
23,24,10.831743,0
25,26,45.372437,0
23,27,28.302856,0
28,29,0.297075,0
29,30,0.244282,0
30,31,3.025781,0
31,32,1.259261,0
33,34,7.974331,0
35,36,2.569293,0
37,38,9.768252,0
39,40,1.308022,0
40,41,0.135172,0
42,43,4.342557,0
44,45,11.519679,0
46,47,6.227486,0
48,49,11.264252,1
50,51,0.605473,0
51,52,2.450930,0
53,50,12.715760,0
54,55,9.257814,1
56,57,24.081994,1
58,56,19.511555,1
59,60,1.999876,1
61,62,41.950889,1
63,64,12.991437,1
65,66,30.151387,0
65,67,30.219187,0
67,68,18.709701,1
68,69,27.167058,1
70,71,0.560565,1
71,72,0.237442,1
72,73,14.693256,1
73,74,9.631203,1
75,76,26.785275,1
77,78,9.165549,1
79,80,7.326289,1
81,82,0.581704,0
82,83,19.197067,0
84,85,4.736296,0
86,87,0.385624,1
88,89,0.191321,1
89,90,0.194357,1
91,92,1.610541,0
91,93,2.041334,0
94,95,24.303859,0
96,97,6.998003,1
98,99,1.940537,0
100,101,18.452602,1
100,102,0.432064,1
103,104,1.453489,0
104,104,0.358886,0
105,106,0.350391,0
106,107,8.623357,0
108,109,2.332700,1
109,110,0.869227,0
110,111,5.864108,0
112,113,37.020525,0
114,115,1.067155,0
116,117,27.780666,0
118,119,1.113604,0
120,121,0.108694,0
121,122,0.683773,0
122,123,9.030921,0
123,124,9.327872,0
125,126,1.846711,0
126,127,0.644579,0
128,129,0.841126,0
130,131,10.975759,1
132,133,3.100120,0
134,135,4.073075,1
136,137,0.463180,1
138,139,1.777331,0
140,141,22.209613,1
140,142,7.220468,1
143,141,2.120496,1
144,145,0.446387,0
146,147,0.035849,1
148,149,4.347935,1
150,145,2.872411,0
151,152,0.140322,0
152,153,1.669754,0
154,155,0.753608,1
156,157,1.783794,0
158,159,1.262360,0
159,160,1.278524,0
161,162,3.202405,0
163,164,3.460291,0
165,166,8.681719,1
167,168,3.332362,1
169,170,1.729924,1
167,171,10.023259,1
172,173,3.196577,0
172,174,3.167774,0
175,176,3.333978,1
177,178,3.959677,1
177,179,3.351166,1
180,181,0.466114,0
180,182,1.924080,0
183,184,12.079506,0
185,186,3.510722,0
187,188,3.618469,1
165,189,8.039231,0
190,191,4.668116,0
192,193,3.800940,0
194,195,1.954501,0
196,197,1.961324,0
198,199,1.805953,0
