lon,lat,ibge
-3.699795,-38.587956,-1.0
-3.694611,-38.630608,-1.0
-3.96509,-38.560298,-1.0
-3.919846,-38.521633,-1.0
-7.828663,-39.076528,-1.0
-7.826457,-39.087613,-1.0
-4.969668,-39.011163,-1.0
-4.950459,-39.0008,-1.0
-3.720951,-38.659275,-1.0
-3.735437,-38.657756,-1.0
-4.051674,-39.448728,-1.0
-4.048393,-39.441614,-1.0
-3.326157,-40.634951,-1.0
-3.316469,-40.559973,-1.0
-3.314333,-40.555365,-1.0
-3.352395,-40.464041,-1.0
-3.517651,-40.35012,-1.0
-3.526316,-40.342167,-1.0
-3.526624,-40.342169,-1.0
-3.679701,-40.349084,-1.0
-3.793961,-40.275288,-1.0
-3.858297,-40.231975,-1.0
-3.85865,-40.231741,-1.0
-3.937655,-40.161483,-1.0
-3.993788,-40.082123,-1.0
-3.988488,-40.077045,-1.0
-4.246371,-39.804741,-1.0
-4.07341,-40.304649,-1.0
-2.899945,-40.839851,-1.0
-2.897479,-40.840872,-1.0
-2.895509,-40.841835,-1.0
-2.872365,-40.855039,-1.0
-2.863146,-40.861371,-1.0
-2.902548,-39.998981,-1.0
-2.859142,-39.967451,-1.0
-2.93062,-39.890221,-1.0
-2.907893,-39.886335,-1.0
-3.233685,-40.012956,-1.0
-3.314241,-40.009227,-1.0
-2.918999,-39.925322,-1.0
-2.92205,-39.914047,-1.0
-2.922461,-39.912925,-1.0
-4.714443,-37.839485,-1.0
-4.678797,-37.837529,-1.0
-4.84107,-37.786305,-1.0
-4.82155,-37.872643,-1.0
-4.898269,-37.875416,-1.0
-4.929458,-37.918549,-1.0
-5.042233,-38.091182,-1.0
-5.123375,-38.150199,-1.0
-5.137728,-38.095134,-1.0
-5.142353,-38.09785,-1.0
-5.159993,-38.108755,-1.0
-5.081099,-38.003025,-1.0
-4.583079,-38.617201,-1.0
-4.51639,-38.567382,-1.0
-4.50588,-38.35807,-1.0
-4.335536,-38.479215,-1.0
-4.593232,-38.210207,-1.0
-4.359722,-39.301874,-1.0
-4.343733,-39.294965,-1.0
-5.306141,-38.920372,-1.0
-5.07144,-39.063943,-1.0
-5.232671,-38.194531,-1.0
-5.150134,-38.155715,-1.0
-5.812676,-38.306003,-1.0
-5.581114,-38.288095,-1.0
-6.031136,-38.349404,-1.0
-6.043559,-38.460678,-1.0
-5.988555,-38.627622,-1.0
-5.734733,-39.00332,-1.0
-5.732827,-39.007993,-1.0
-5.733084,-39.010109,-1.0
-5.732403,-39.129164,-1.0
-5.683468,-39.197372,-1.0
-5.577575,-39.366681,-1.0
-5.682702,-39.198768,-1.0
-6.740297,-38.793462,-1.0
-6.759149,-38.873333,-1.0
-6.782284,-39.220615,-1.0
-6.792358,-39.285948,-1.0
-6.60397,-39.058706,-1.0
-6.608813,-39.06042,-1.0
-6.758059,-39.120428,-1.0
-6.654743,-39.728729,-1.0
-6.681313,-39.758027,-1.0
-6.288457,-40.600374,-1.0
-6.285733,-40.598222,-1.0
-6.006961,-40.286128,-1.0
-6.005776,-40.284877,-1.0
-6.004529,-40.283649,-1.0
-6.878327,-39.881011,-1.0
-6.86407,-39.882448,-1.0
-6.892182,-39.869705,-1.0
-7.093143,-39.679085,-1.0
-7.057489,-39.878856,-1.0
-7.023345,-38.765357,-1.0
-7.080024,-38.784539,-1.0
-7.384261,-38.783851,-1.0
-7.387834,-38.76995,-1.0
-7.687401,-39.007219,-1.0
