v1,v2,ibge1,ibge2,val_sum
1048,1048,2310605,2310605,1.494207470000001e6
1048,1063,2310605,2305506,15497.47
1048,1066,2310605,2306900,18852.45
1048,1073,2310605,2309201,2200.01
1048,1085,2310605,2314003,20636.71
1048,1093,2310605,2304202,1.08000409e6
1048,1094,2310605,2307304,171012.51999999996
1048,1095,2310605,2301901,68774.51000000001
1048,1096,2310605,2308401,44854.229999999996
1048,1100,2310605,2308104,140170.0
1048,1101,2310605,2307205,7774.8
1048,1102,2310605,2307106,47772.0
1048,1107,2310605,2302503,34083.53999999999
1048,1113,2310605,2304251,2000.01
1048,1114,2310605,2300200,82382.87000000001
1048,1120,2310605,2307809,1065.6
1048,1126,2310605,2306405,210986.87
1048,1128,2310605,2310258,2059.62
1048,1129,2310605,2310209,106544.4
1048,1143,2310605,2312908,10125.3
1048,1156,2310605,2312403,244667.33
1048,1157,2310605,2303709,535413.8
1048,1159,2310605,2307650,468522.72
1048,1161,2310605,2306256,74157.79999999999
1048,1162,2310605,2301000,457267.71
1048,1164,2310605,2304285,4406.19
1048,1193,2310605,2309607,1175.75
1048,1195,2310605,2303501,10561.38
1048,1218,2310605,2302404,14695.84
1048,1221,2310605,2311405,20000.0
1048,1222,2310605,2308708,725.6300000000001
1048,1227,2310605,2311504,140888.24
1048,1233,2310605,2313005,8250.04
1048,1245,2310605,2304400,1.1091026000000003e6
1050,1050,2311108,2311108,2.9935606500000004e6
1050,1061,2311108,2300309,287.58
1050,1063,2311108,2305506,2378.69
1050,1066,2311108,2306900,26561.46
1050,1071,2311108,2311207,5000.0
1050,1072,2311108,2312106,3000.0
1050,1085,2311108,2314003,293.36
1050,1093,2311108,2304202,219344.99000000002
1050,1094,2311108,2307304,36475.74000000001
1050,1095,2311108,2301901,20703.22
1050,1096,2311108,2308401,1.02398802e6
1050,1097,2311108,2300101,20053.3
1050,1100,2311108,2308104,1000.0
1050,1102,2311108,2307106,3000.0
1050,1105,2311108,2301703,5600.0
1050,1107,2311108,2302503,64272.560000000005
1050,1157,2311108,2303709,386881.32000000007
1050,1159,2311108,2307650,9722.28
1050,1161,2311108,2306256,12652.410000000002
1050,1162,2311108,2301000,10113.85
1050,1167,2311108,2305803,460.58
1050,1171,2311108,2313955,11.59
1050,1213,2311108,2307007,2072.36
1050,1218,2311108,2302404,4996.04
1050,1222,2311108,2308708,1240.2900000000002
1050,1244,2311108,2311306,2374.71
1050,1245,2311108,2304400,163117.53999999998
1051,1051,2308377,2308377,525263.62
1051,1094,2308377,2307304,829.54
1051,1114,2308377,2300200,5600.0
1051,1118,2308377,2313906,272400.0
1051,1124,2308377,2300754,335.49
1051,1126,2308377,2306405,5105.39
1051,1143,2308377,2312908,5080.37
1051,1146,2308377,2304350,6414.950000000001
1051,1157,2308377,2303709,1.10469958e6
1051,1159,2308377,2307650,2644.99
1051,1161,2308377,2306256,7399.9
1051,1162,2308377,2301000,8463.85
1051,1164,2308377,2304285,2652.15
1051,1169,2308377,2312304,470750.0
1051,1193,2308377,2309607,200.0
1051,1222,2308377,2308708,47.88
1051,1245,2308377,2304400,99830.34
1053,1053,2304269,2304269,1.0975298199999998e6
1053,1059,2304269,2313302,4174.5
1053,1061,2304269,2300309,17692.56
1053,1063,2304269,2305506,4395.969999999999
1053,1066,2304269,2306900,759.07
1053,1078,2304269,2311900,505.13
1053,1082,2304269,2303303,920.0
1053,1093,2304269,2304202,476.04
1053,1094,2304269,2307304,16925.98
1053,1095,2304269,2301901,2807.9100000000008
1053,1157,2304269,2303709,200330.55
1053,1159,2304269,2307650,20110.72
1053,1161,2304269,2306256,671.3900000000001
1053,1162,2304269,2301000,1708.5399999999997
1053,1164,2304269,2304285,2564.29
