lon,lat,ibge,v
-3.699795,-38.587956,-1,1
-3.694611,-38.630608,-1,12
-3.96509,-38.560298,-1,102
-3.919846,-38.521633,-1,478140
-7.828663,-39.076528,-1,109
-7.826457,-39.087613,-1,453171
-4.969668,-39.011163,-1,510970
-4.950459,-39.0008,-1,385653
-3.720951,-38.659275,-1,124
-3.735437,-38.657756,-1,60334
-4.051674,-39.448728,-1,144
-4.048393,-39.441614,-1,559482
-3.326157,-40.634951,-1,146
-3.316469,-40.559973,-1,545
-3.314333,-40.555365,-1,584
-3.352395,-40.464041,-1,1073
-3.517651,-40.35012,-1,2109
-3.526316,-40.342167,-1,49307
-3.526624,-40.342169,-1,2116
-3.679701,-40.349084,-1,2945
-3.793961,-40.275288,-1,2946
-3.858297,-40.231975,-1,3442
-3.85865,-40.231741,-1,3446
-3.937655,-40.161483,-1,4094
-3.993788,-40.082123,-1,4651
-3.988488,-40.077045,-1,4652
-4.246371,-39.804741,-1,317530
-4.07341,-40.304649,-1,477208
-2.899945,-40.839851,-1,8283
-2.897479,-40.840872,-1,8286
-2.895509,-40.841835,-1,8294
-2.872365,-40.855039,-1,8504
-2.863146,-40.861371,-1,8593
-2.902548,-39.998981,-1,8595
-2.859142,-39.967451,-1,9106
-2.93062,-39.890221,-1,9108
-2.907893,-39.886335,-1,9232
-3.233685,-40.012956,-1,9234
-3.314241,-40.009227,-1,9676
-2.918999,-39.925322,-1,9678
-2.92205,-39.914047,-1,9782
-2.922461,-39.912925,-1,9793
-4.714443,-37.839485,-1,9850
-4.678797,-37.837529,-1,454019
-4.84107,-37.786305,-1,9852
-4.82155,-37.872643,-1,10434
-4.898269,-37.875416,-1,10436
-4.929458,-37.918549,-1,10773
-5.042233,-38.091182,-1,10949
-5.123375,-38.150199,-1,11505
-5.137728,-38.095134,-1,12055
-5.142353,-38.09785,-1,12100
-5.159993,-38.108755,-1,12283
-5.081099,-38.003025,-1,12284
-4.583079,-38.617201,-1,13203
-4.51639,-38.567382,-1,73686
-4.50588,-38.35807,-1,13257
