orig,dest,km,jur
1,2,25.332539,0
3,4,8.031198,0
5,6,1.259946,0
7,8,2.634321,1
9,10,1.679727,0
11,12,0.930757,0
13,14,9.157643,0
14,15,0.572846,0
15,16,11.877794,0
16,17,22.958114,0
17,18,1.328997,0
19,20,17.865715,0
21,22,8.629629,0
22,23,0.047114,0
23,24,12.026343,0
24,25,10.831743,0
26,27,45.372437,0
24,28,28.302856,0
29,30,0.297075,0
30,31,0.244282,0
31,32,3.025781,0
32,33,1.259261,0
34,35,7.974331,0
36,37,2.569293,0
38,39,9.768252,0
40,41,1.308022,0
41,42,0.135172,0
43,44,4.342557,0
45,46,11.519679,0
47,48,6.227486,0
49,50,11.264252,1
51,52,0.605473,0
52,53,2.45093,0
54,51,12.71576,0
55,56,9.257814,1
57,58,24.081994,1
59,57,19.511555,1
60,61,1.999876,1
62,63,41.950889,1
64,65,12.991437,1
66,67,30.151387,0
66,68,30.219187,0
68,69,18.709701,1
69,70,27.167058,1
71,72,0.560565,1
72,73,0.237442,1
73,74,14.693256,1
74,75,9.631203,1
76,77,26.785275,1
78,79,9.165549,1
80,81,7.326289,1
82,83,0.581704,0
83,84,19.197067,0
85,86,4.736296,0
87,88,0.385624,1
89,90,0.191321,1
90,91,0.194357,1
92,93,1.610541,0
92,94,2.041334,0
95,96,24.303859,0
97,98,6.998003,1
99,100,1.940537,0
101,102,18.452602,1
101,103,0.432064,1
104,105,1.453489,0
105,105,0.358886,0
106,107,0.350391,0
107,108,8.623357,0
109,110,2.3327,1
110,111,0.869227,0
111,112,5.864108,0
113,114,37.020525,0
115,116,1.067155,0
117,118,27.780666,0
119,120,1.113604,0
121,122,0.108694,0
122,123,0.683773,0
123,124,9.030921,0
124,125,9.327872,0
126,127,1.846711,0
127,128,0.644579,0
129,130,0.841126,0
131,132,10.975759,1
133,134,3.10012,0
135,136,4.073075,1
137,138,0.46318,1
139,140,1.777331,0
141,142,22.209613,1
141,143,7.220468,1
144,142,2.120496,1
145,146,0.446387,0
147,148,0.035849,1
149,150,4.347935,1
151,146,2.872411,0
152,153,0.140322,0
153,154,1.669754,0
155,156,0.753608,1
157,158,1.783794,0
159,160,1.26236,0
160,161,1.278524,0
