orig,dest,ibge1,ibge2,val
1048,1048,2310605,2310605,1494207.47
1048,1245,2310605,2304400,1109102.6
1048,1093,2310605,2304202,1080004.09
1048,1157,2310605,2303709,535413.8
1048,1159,2310605,2307650,468522.72
1048,1162,2310605,2301000,457267.71
1048,1156,2310605,2312403,244667.33
1048,1126,2310605,2306405,210986.87
1048,1094,2310605,2307304,171012.52
1048,1227,2310605,2311504,140888.24
1048,1100,2310605,2308104,140170
1048,1129,2310605,2310209,106544.4
1048,1114,2310605,2300200,82382.87
1048,1161,2310605,2306256,74157.8
1048,1095,2310605,2301901,68774.51
1048,1102,2310605,2307106,47772
1048,1096,2310605,2308401,44854.23
1048,1107,2310605,2302503,34083.54
1048,1085,2310605,2314003,20636.71
1048,1221,2310605,2311405,20000
1048,1066,2310605,2306900,18852.45
1048,1063,2310605,2305506,15497.47
1048,1218,2310605,2302404,14695.84
1048,1195,2310605,2303501,10561.38
1048,1143,2310605,2312908,10125.3
1048,1233,2310605,2313005,8250.04
1048,1101,2310605,2307205,7774.8
1048,1164,2310605,2304285,4406.19
1048,1073,2310605,2309201,2200.01
1048,1128,2310605,2310258,2059.62
1048,1113,2310605,2304251,2000.01
1048,1193,2310605,2309607,1175.75
1048,1120,2310605,2307809,1065.6
1048,1222,2310605,2308708,725.63
1050,1050,2311108,2311108,2993560.65
1050,1096,2311108,2308401,1023988.02
1050,1157,2311108,2303709,386881.32
1050,1093,2311108,2304202,219344.99
1050,1245,2311108,2304400,163117.54
1050,1107,2311108,2302503,64272.56
1050,1094,2311108,2307304,36475.74
1050,1066,2311108,2306900,26561.46
1050,1095,2311108,2301901,20703.22
1050,1097,2311108,2300101,20053.3
1050,1161,2311108,2306256,12652.41
1050,1162,2311108,2301000,10113.85
1050,1159,2311108,2307650,9722.28
1050,1105,2311108,2301703,5600
1050,1071,2311108,2311207,5000
1050,1218,2311108,2302404,4996.04
1050,1072,2311108,2312106,3000
1050,1102,2311108,2307106,3000
1050,1063,2311108,2305506,2378.69
1050,1244,2311108,2311306,2374.71
1050,1213,2311108,2307007,2072.36
1050,1222,2311108,2308708,1240.29
1050,1100,2311108,2308104,1000
1050,1167,2311108,2305803,460.58
1050,1085,2311108,2314003,293.36
1050,1061,2311108,2300309,287.58
1050,1171,2311108,2313955,11.59
1051,1157,2308377,2303709,1104699.58
1051,1051,2308377,2308377,525263.62
1051,1169,2308377,2312304,470750
1051,1118,2308377,2313906,272400
1051,1245,2308377,2304400,99830.34
1051,1162,2308377,2301000,8463.85
1051,1161,2308377,2306256,7399.9
1051,1146,2308377,2304350,6414.95
1051,1114,2308377,2300200,5600
1051,1126,2308377,2306405,5105.39
1051,1143,2308377,2312908,5080.37
1051,1164,2308377,2304285,2652.15
1051,1159,2308377,2307650,2644.99
1051,1094,2308377,2307304,829.54
1051,1124,2308377,2300754,335.49
1051,1193,2308377,2309607,200
1051,1222,2308377,2308708,47.88
1053,1053,2304269,2304269,1097529.82
1053,1245,2304269,2304400,610111.15
1053,1157,2304269,2303709,200330.55
1053,1236,2304269,2306702,45471.83
1053,1159,2304269,2307650,20110.72
1053,1233,2304269,2313005,17896.58
1053,1061,2304269,2300309,17692.56
1053,1094,2304269,2307304,16925.98
1053,1235,2304269,2312700,13867
1053,1234,2304269,2308351,11774.93
1053,1063,2304269,2305506,4395.97
1053,1231,2304269,2308500,4384.82
1053,1059,2304269,2313302,4174.5
1053,1232,2304269,2310902,3795.8
1053,1095,2304269,2301901,2807.91
1053,1226,2304269,2307601,2713.4
1053,1164,2304269,2304285,2564.29
1053,1218,2304269,2302404,2076.37
1053,1212,2304269,2311801,1897.2
1053,1162,2304269,2301000,1708.54
1053,1221,2304269,2311405,1022.11
1053,1082,2304269,2303303,920
1053,1066,2304269,2306900,759.07
1053,1161,2304269,2306256,671.39
1053,1244,2304269,2311306,530.44
1053,1078,2304269,2311900,505.13
1053,1093,2304269,2304202,476.04
1053,1219,2304269,2310506,417.15
1053,1193,2304269,2309607,344.43
1055,1245,2300606,2304400,308431.32
1055,1055,2300606,2300606,45028.52
1055,1077,2300606,2304301,41246.53
1055,1093,2300606,2304202,27538.89
1055,1094,2300606,2307304,25713.12
1055,1073,2300606,2309201,9420.83
1055,1063,2300606,2305506,9216.78
1055,1095,2300606,2301901,6975.72
1055,1164,2300606,2304285,2454.88
1055,1159,2300606,2307650,2042.35
1055,1162,2300606,2301000,1744.53
1055,1218,2300606,2302404,1242
1055,1161,2300606,2306256,528.65
1055,1222,2300606,2308708,354
1055,1243,2300606,2303931,88.67
1056,1056,2308609,2308609,2262871.7
1056,1245,2308609,2304400,1173873.17
1056,1157,2308609,2303709,628883.83
1056,1205,2308609,2303659,132519.06
1056,1159,2308609,2307650,122309.03
1056,1164,2308609,2304285,118761.1
1056,1216,2308609,2304103,54880.93
1056,1143,2308609,2312908,31350.7
1056,1059,2308609,2313302,26585
1056,1222,2308609,2308708,20538.43
1056,1146,2308609,2304350,19306.78
1056,1218,2308609,2302404,19087.65
1056,1249,2308609,2304657,13463.36
1056,1212,2308609,2311801,9676.9
1056,1204,2308609,2313203,9366.37
1056,1161,2308609,2306256,8061.22
1056,1201,2308609,2309300,7554.95
1056,1162,2308609,2301000,7221.41
1056,1144,2308609,2303105,4567.6
1056,1139,2308609,2313401,4403.07
1056,1094,2308609,2307304,2980.3
1056,1061,2308609,2300309,2872.12
1056,1175,2308609,2312205,2535.65
1056,1153,2308609,2310704,2153.28
1056,1063,2308609,2305506,1227.84
1056,1244,2308609,2311306,1191.97
1056,1107,2308609,2302503,290.31
1056,1193,2308609,2309607,247.67
1056,1064,2308609,2305407,100
1056,1198,2308609,2301109,24.72
1057,1057,2310308,2310308,5736261.84
1057,1157,2310308,2303709,2192063.33
1057,1245,2310308,2304400,2063129.5
1057,1218,2310308,2302404,762901.97
1057,1195,2310308,2303501,276302.88
1057,1072,2310308,2312106,197398.6
1057,1063,2310308,2305506,170141.94
1057,1059,2310308,2313302,159396.55
1057,1159,2310308,2307650,105676.36
1057,1162,2310308,2301000,99764.3
1057,1230,2310308,2311264,91793.78
1057,1094,2310308,2307304,88180.5600000001
1057,1093,2310308,2304202,42592.31
1057,1244,2310308,2311306,33135.54
1057,1160,2310308,2309706,16842
1057,1066,2310308,2306900,15923.57
1057,1061,2310308,2300309,14510.05
1057,1161,2310308,2306256,12224.89
1057,1143,2310308,2312908,10457.31
1057,1164,2310308,2304285,7377.26
1057,1095,2310308,2301901,7300.53
1057,1060,2310308,2303600,7000
1057,1217,2310308,2305605,6400
1057,1229,2310308,2309409,3430.47
1057,1212,2310308,2311801,2894.55
1057,1100,2310308,2308104,1755.48
1057,1167,2310308,2305803,1507.16
1057,1064,2310308,2305407,1372.73
1057,1222,2310308,2308708,828.66
1057,1216,2310308,2304103,685.08
1057,1231,2310308,2308500,496.79
1057,1225,2310308,2313104,478.8
1057,1074,2310308,2301604,447.19
1057,1175,2310308,2312205,420
1057,1169,2310308,2312304,345.73
1057,1219,2310308,2310506,304.35
1057,1221,2310308,2311405,302.54
1057,1226,2310308,2307601,285.96
1057,1201,2310308,2309300,168.72
1057,1158,2310308,2307700,122.4
1057,1085,2310308,2314003,104.01
1057,1139,2310308,2313401,91.92
1057,1247,2310308,2305233,59.9
1057,1235,2310308,2312700,32.37
1057,1220,2310308,2301851,26.65
1057,1107,2310308,2302503,18.35
1057,1081,2310308,2307403,14.3
1058,1058,2301505,2301505,1100686.06
1058,1245,2301505,2304400,643572.28
1058,1075,2301505,2300408,95231.64
1058,1078,2301505,2311900,48950
1058,1218,2301505,2302404,32720.22
1058,1059,2301505,2313302,21091.4
1058,1076,2301505,2300804,18494
1058,1094,2301505,2307304,15345.74
1058,1063,2301505,2305506,8560.61
1058,1164,2301505,2304285,6245.8
1058,1074,2301505,2301604,6212.2
1058,1159,2301505,2307650,5007.73
1058,1095,2301505,2301901,4699.18
1058,1069,2301505,2302701,1210
1058,1162,2301505,2301000,1200.86
1058,1093,2301505,2304202,960.95
1058,1061,2301505,2300309,927.12
1058,1216,2301505,2304103,882.54
1058,1139,2301505,2313401,743.87
1058,1222,2301505,2308708,639.12
1058,1100,2301505,2308104,450
1058,1157,2301505,2303709,316.63
1058,1232,2301505,2310902,267.07
1058,1221,2301505,2311405,248
1058,1244,2301505,2311306,143.74
1058,1060,2301505,2303600,97.82
1059,1221,2313302,2311405,47384909.9900002
1059,1059,2313302,2313302,34956306.65
1059,1245,2313302,2304400,16314731.72
1059,1093,2313302,2304202,6185218.75000001
1059,1063,2313302,2305506,4468928.33
1059,1157,2313302,2303709,3104990.29
1059,1095,2313302,2301901,2634282.48
1059,1094,2313302,2307304,1228929.72
1059,1216,2313302,2304103,862545.94
1059,1057,2313302,2310308,776604.029999999
1059,1058,2313302,2301505,775779.96
1059,1075,2313302,2300408,699069.17
1059,1159,2313302,2307650,625266.14
1059,1244,2313302,2311306,565682.47
1059,1164,2313302,2304285,542501.1
1059,1161,2313302,2306256,377627.32
1059,1230,2313302,2311264,309475.39
1059,1219,2313302,2310506,228237.43
1059,1217,2313302,2305605,177915.59
1059,1143,2313302,2312908,139605.22
1059,1179,2313302,2302800,136329.45
1059,1139,2313302,2313401,125021.21
1059,1061,2313302,2300309,121186.89
1059,1174,2313302,2305209,114498.12
1059,1231,2313302,2308500,110386.08
1059,1212,2313302,2311801,103943.43
1059,1234,2313302,2308351,84325.88
1059,1156,2313302,2312403,82951.72
1059,1162,2313302,2301000,80742
1059,1229,2313302,2309409,77187.3
1059,1196,2313302,2302206,63269.52
1059,1065,2313302,2309508,57258.55
1059,1148,2313302,2306306,56629.57
1059,1218,2313302,2302404,54666.13
1059,1124,2313302,2300754,54520.15
1059,1074,2313302,2301604,54217.56
1059,1060,2313302,2303600,53376.57
1059,1233,2313302,2313005,50599.97
1059,1201,2313302,2309300,49156.62
1059,1107,2313302,2302503,47484.99
1059,1235,2313302,2312700,45834.83
1059,1169,2313302,2312304,38004.49
1059,1127,2313302,2313500,36466.72
1059,1126,2313302,2306405,35754.45
1059,1222,2313302,2308708,34962.67
1059,1226,2313302,2307601,34683.4
1059,1193,2313302,2309607,34620.0100000001
1059,1225,2313302,2313104,34058.21
1059,1073,2313302,2309201,31247.92
1059,1115,2313302,2306553,25936.25
1059,1202,2313302,2305654,25887.79
1059,1100,2313302,2308104,24365.08
1059,1160,2313302,2309706,23991.33
1059,1066,2313302,2306900,21986.38
1059,1175,2313302,2312205,21505.81
1059,1067,2313302,2310803,20036.52
1059,1081,2313302,2307403,18737.97
1059,1129,2313302,2310209,18186.04
1059,1096,2313302,2308401,18120.06
1059,1064,2313302,2305407,18072.53
1059,1114,2313302,2300200,16420.04
1059,1104,2313302,2302008,16003.45
1059,1147,2313302,2306108,11347
1059,1086,2313302,2307502,11093.25
1059,1070,2313302,2301307,11042.31
1059,1069,2313302,2302701,10790.5
1059,1247,2313302,2305233,10734.54
1059,1077,2313302,2304301,10629.04
1059,1181,2313302,2302909,10536.98
1059,1154,2313302,2313757,10297.43
1059,1158,2313302,2307700,10103.77
1059,1227,2313302,2311504,9974.74
1059,1102,2313302,2307106,8415.04
1059,1167,2313302,2305803,8043
1059,1128,2313302,2310258,7885.05
1059,1120,2313302,2307809,7766.72
1059,1131,2313302,2314102,7621.48
1059,1204,2313302,2313203,6260.86
1059,1138,2313302,2304004,5971.38
1059,1116,2313302,2304707,5668.85
1059,1110,2313302,2302057,5506.68
1059,1108,2313302,2303808,5417.97
1059,1099,2313302,2308302,5412.28
1059,1105,2313302,2301703,5374.54
1059,1050,2313302,2311108,5365.66
1059,1085,2313302,2314003,5310.88
1059,1103,2313302,2303204,5237.94
1059,1151,2313302,2313351,5125.94
1059,1153,2313302,2310704,4819.01
1059,1092,2313302,2311959,4819
1059,1170,2313302,2311702,4797.66
1059,1185,2313302,2302107,4760.53
1059,1236,2313302,2306702,4707.61
1059,1090,2313302,2313708,4563.53
1059,1195,2313302,2303501,4289.8
1059,1082,2313302,2303303,4125.69
1059,1155,2313302,2312601,3888.35
1059,1207,2313302,2307635,3771.81
1059,1168,2313302,2305001,3400.56
1059,1053,2313302,2304269,3358.53
1059,1072,2313302,2312106,3248.47
1059,1165,2313302,2303402,3159.6
1059,1078,2313302,2311900,2895.36
1059,1132,2313302,2304509,2744.76
1059,1198,2313302,2301109,2715.27
1059,1051,2313302,2308377,2689.67
1059,1232,2313302,2310902,2639.44
1059,1111,2313302,2302602,2381.04
1059,1220,2313302,2301851,2280.44
1059,1055,2313302,2300606,2044.1
1059,1140,2313302,2300507,1872.35
1059,1249,2313302,2304657,1764.18
1059,1150,2313302,2313559,1507.54
1059,1134,2313302,2305308,1282.6
1059,1062,2313302,2311355,1280.9
1059,1133,2313302,2313609,1126.3
1059,1080,2313302,2313252,1108
1059,1197,2313302,2304459,907.68
1059,1097,2313302,2300101,850.67
1059,1203,2313302,2305902,770.88
1059,1189,2313302,2311603,749.16
1059,1071,2313302,2311207,578.16
1059,1146,2313302,2304350,535
1059,1123,2313302,2312809,405.6
1059,1135,2313302,2309003,385.44
1059,1213,2313302,2307007,385.44
1059,1188,2313302,2301950,340.92
1059,1241,2313302,2306009,317.04
1059,1183,2313302,2305100,270
1059,1152,2313302,2300903,253.24
1059,1112,2313302,2307254,214.8
1059,1237,2313302,2306801,175.68
1060,1157,2303600,2303709,1113862.97
1060,1060,2303600,2303600,974790.35
1060,1245,2303600,2304400,387487.03
1060,1075,2303600,2300408,86876.51
1060,1094,2303600,2307304,29022.12
1060,1061,2303600,2300309,18839.63
1060,1095,2303600,2301901,18223.62
1060,1063,2303600,2305506,15413.54
1060,1159,2303600,2307650,14756.91
1060,1218,2303600,2302404,11633.39
1060,1078,2303600,2311900,10303.73
1060,1059,2303600,2313302,7595.47
1060,1162,2303600,2301000,6279.96
1060,1058,2303600,2301505,5655.25
1060,1219,2303600,2310506,5271.43
1060,1093,2303600,2304202,4485.97
1060,1164,2303600,2304285,4481.94
1060,1233,2303600,2313005,3988.45
1060,1232,2303600,2310902,3509.04
1060,1231,2303600,2308500,2819.48
1060,1234,2303600,2308351,2188.21
1060,1081,2303600,2307403,2155.28
1060,1064,2303600,2305407,1991.08
1060,1222,2303600,2308708,1851.36
1060,1221,2303600,2311405,1523.32
1060,1062,2303600,2311355,1443.3
1060,1082,2303600,2303303,1388.89
1060,1053,2303600,2304269,1003.87
1060,1066,2303600,2306900,759.2
1060,1161,2303600,2306256,756.19
1060,1158,2303600,2307700,500
1060,1226,2303600,2307601,405.36
1060,1107,2303600,2302503,138.2
1060,1085,2303600,2314003,66.17
1061,1061,2300309,2300309,14658976.91
1061,1059,2300309,2313302,5578345.96000001
1061,1231,2300309,2308500,3343527.83999999
1061,1157,2300309,2303709,3134932.18
1061,1219,2300309,2310506,3067540.8
1061,1093,2300309,2304202,2882165.24
1061,1245,2300309,2304400,2866186.09
1061,1221,2300309,2311405,2549939.29
1061,1232,2300309,2310902,2011756.22
1061,1233,2300309,2313005,1845739.58
1061,1235,2300309,2312700,1824528.07
1061,1060,2300309,2303600,1639472.44
1061,1081,2300309,2307403,1564210.82
1061,1063,2300309,2305506,1519895.92
1061,1087,2300309,2305704,1507905.9
1061,1062,2300309,2311355,1432764.61
1061,1078,2300309,2311900,1291125.18
1061,1234,2300309,2308351,1252396.32
1061,1082,2300309,2303303,1141282.24
1061,1053,2300309,2304269,847336.3
1061,1159,2300309,2307650,513360.43
1061,1094,2300309,2307304,354608.39
1061,1244,2300309,2311306,246400.86
1061,1222,2300309,2308708,237092.22
1061,1064,2300309,2305407,236721.13
1061,1218,2300309,2302404,223308.29
1061,1185,2300309,2302107,188776.81
1061,1212,2300309,2311801,155431.79
1061,1220,2300309,2301851,143227.48
1061,1100,2300309,2308104,128226.05
1061,1164,2300309,2304285,124769
1061,1057,2300309,2310308,108507.51
1061,1206,2300309,2306603,104388.72
1061,1179,2300309,2302800,103584.43
1061,1204,2300309,2313203,101197.54
1061,1171,2300309,2313955,99245.61
1061,1201,2300309,2309300,93122.85
